Code (New/Old),Name (New/Old),Slot new,Room Nubmer,Discipline,Instructor
BML511,Physiology,Q,AIMS RAIPUR,BM,DPGC_BSBME
BML512/BM512,Molecular Biology,B,L105,BM,Dr. Suchetan Pal
BML513/BM513,Biochemistry,J12,L102,BM,Dr. Ramasamy Mayilmurugan
BML611/BM611,Biomicrofluidics and Lab-on-Chip,D,ED1 201/202,BM,Dr. Nagesh Devidas Patil
BML612/BM612,Bioinformatics,A12,ED1 201/202,BM,Dr. Rukmankesh
BML613/CY618,Bionanotechnology,C3,ED1 212/213,BM,Dr. Suchetan Pal
BMP581,Bioengineering Lab 1,O,AIMS RAIPUR,BM,DPGC_BSBME
CS200,Software Tool and Technologies Lab-II,A12,L102,CS,Dr. Dhiman saha
CS201,Discrete Structures II,A3,L105,CS,Dr. Barun Gorain
CS202,Algorithms  I,F12,L205,CS,Dr. Rishi Ranjan Singh
CS203,Theory of Computation I,"B1,B3",L101,CS,Dr. Amit Kumar Dhar
CS204,Computer Organization & Architecture,D12,L206,CS,Prof. Santosh Biswas
CS251,Introduction to Language Processing,E12,L205,CS,Dr. Vishwesh Jatala
CS252,Algorithms-II,"G1, G3",ED1 201/202,CS,Dr. I Vinod Reddy
CS301,Computer Networks,C,L101,CS,Dr. Anand Baswade
CS499,Thesis (BTech),NA,NA,CS,DUGC_CSE
CS599,Thesis (MTech),NA,NA,CS,DPGC_CSE
CS795,PhD Candidacy,NA,NA,CS,DPGC_CSE
CS799,Thesis (PhD),NA,NA,CS,DPGC_CSE
CSL502,Foundation of Computer Science,I,L103,CS,Dr. Rishi Ranjan Singh
CSL503,Computer Systems Engineering,"G12, R23 ","ED1 207/208, CSE LAB",CS,"Prof. Santosh Biswas, Dr. Vishwesh Jatala"
CSL505/CS553,Cryptography,D,L101,CS,Dr. Dhiman saha
CSL510/CS510,Approximation Algorithms,C,L203,CS,Dr. Barun Gorain
CSL605,Computer Networks and Cyber Security,"L12, S23 ","L205, CSE LAB",CS,"Dr. Anand Baswade, Dr. Souradyuti Paul"
CSL606,Advance Data Structures and Algorithms,C,L207,CS,Dr. I Vinod Reddy
CSL511/CS511,Introduction to Formal Verification and Its Applications,I,L104,CS,Dr. Amit Kumar Dhar
CSL100 & MAL400/IC100,Introduction to programming,"E1, E2, B3 ","L209,(L103, L104, L203, L204, ED1 201/202 TUT)",CS,Dr. SK Subidh Ali
CA200,Professional Communication Lab III – Technical Literature Structure,K1,L209,CY,"Dr. Ganapathy D, Dr. Sonal Jha"
IC201,Environmental Studies,"I3, H1 ","L209,(L204, L206, ED1 207/208, ED1 212/213 TUT)",CY,Dr. Raghavender Medishetty
IC300,Materials Chemistry III,L2,L209,CY,Dr. Satyajit Gupta
CY506,Inorganic Chemistry Practical,LAB,TBA,CY,"Dr. Arup Mukherjee, Dr. Raghavender Medishetty, Dr. 
Ramasamy Mayilmurugan (IC)"
CY604,Solid State Chemistry,E23,ED1 201/202,CY,Dr. Katchala Nanaji
CY699,Thesis (MSc),NA,NA,CY,DPGC_CY
CY795,PhD Candidacy,NA,NA,CY,DPGC_CY
CY799,Thesis (PhD),NA,NA,CY,DPGC_CY
CYL100,Applied Chemistry,C,L209,CY,"Dr. Sanjib Banerjee (IC), Dr. Ramasamy Mayilmurugan,
Dr. Mehboob Alam"
CYL101,Environmental Science,A3,L209,CY,Dr. Raghavender Medishetty
CYL400,Chemical Kinetics and Surface Science,C,L208,CY,Dr. Satyajit Gupta
CYL401,Coordination Chemistry,B,L205,CY,Dr. Raghavender Medishetty
CYL500,Quantum Chemistry,A,L104,CY,Dr. Mehboob Alam
CYL501,Stereochemistry and Reaction Mechanism,D,ED1 207/208,CY,Dr. Hemanta Kumar Kisan
CYL600/CY605,Advanced Organic Chemistry,H,L202,CY,Dr. Ganapathy D
CYL601/CY603,Organometallic Chemistry: Principles and Applications,L,L202,CY,Dr. Arup Mukherjee
CYL602/CY607,Interpretative Molecular Spectroscopy,G,L205,CY,Dr. Suchetan Pal
CYL605/CY650,EPR Spectroscopy and Its Applications,K,L103,CY,Dr. Ramasamy Mayilmurugan
CYP102,Chemistry lab,LAB,CY LAB,CY,"Dr. Katchala Nanaji, Dr. Hemanta Kumar Kisan, Dr. 
Suchetan Pal (IC)"
CYP502,Organic and Inorganic Laboratory,LAB,CY LAB,CY,"Dr. Arup Mukherjee, Dr. Ramasamy Mayilmurugan (IC),  Dr. Sanjib Banerjee, Dr. Ganapathy D"
CYP503,Physical and Computational Laboratory,LAB,CY LAB,CY,"Dr. Satyajit Gupta (IC), Dr. Suchetan Pal, Dr. Hemanta 
Kumar Kisan, Dr. Rukmankesh"
DS200,Architecture for Management of Large Datasets,D,L204,DS,Dr. Subhajit Sidhanta
DS209,Information Security,E,L101,DS,Dr. Souradyuti Paul
DS210,Data Analytics and Visualization Lab,U 12 ,CSE LAB,DS,Dr. Rajesh Kumar Mundotiya
DS220,Big Data Analytics Lab,Q 23 ,CS LAB,DS,Dr. Subhajit Sidhanta
DS250,Data Analytics and Visualization,D,L103,DS,Dr. Rajesh Kumar Mundotiya
DS251,Artificial Intelligence,B,L209,DS,Dr. Soumyajit Pramanik
DS499,Thesis (BTech),NA,NA,DS,DUGC_CSE
DS599,Thesis (MTech),NA,NA,DS,DPGC_CSE
DS795,PhD Candidacy,NA,NA,DS,DPGC_CSE
DS799,Thesis (PhD),NA,NA,DS,DPGC_CSE
DSL501/CS550,Machine Learning,"F, W23 ","L202, CSE LAB",DS,Dr. Gagan Raj Gupta
DSL502,Basic Mathematics for Data Science and Artificial Intelligence,"B12, B3 ",L206,DS,Dr. Anil Kumar Sao
DSL605/DS605,Deeplearning for Low resource NLP,E,L102,DS,Dr. Rajesh Kumar Mundotiya
DSP505,Programming Lab for Data Science and Artificial Intelligence,S,"ED1 207/208, CSE LAB",DS,Dr. Soumyajit Pramanik
ECL501/EC501,Computer Communications,"G12, S23 ","ED1 212/213, EC LAB",EC,Dr. Arzad Alam Kherani
ECL502/EC502,Advanced Digital Communication,A,L203,EC,Dr. Sreejith T V
ECL503/EC503,Digital IC Design,E,L103,EC,Dr. Rohit Chaurasia (IIIT NR)
ECL504/EC504,Semiconductor Devices,F,L102,EC,Dr. Rohit Chaurasia (IIIT NR)
EEL605/DS601,Digital Image Processing,A,L204,EE,Dr. Nitin Khanna
EE201,Electronic Devices,A12,L101,EE,Dr. Nikhil Chander
EE202,Control Systems - I,F,L101,EE,Dr. Shailendra Kumar
EE203,Embedded Systems,C12,L206,EE,Prof. Santosh Biswas
EE207,Engineering Electromagnetics,D12,L205,EE,Dr. Nikhil Chander
EE301,Communication Systems,H23,ED1 201/202,EE,Dr. Sreejith T V
EE351,Electrical Machines Lab,U ,EE LAB,EE,Dr. Shailendra Kumar
EE499,Thesis (BTech),NA,NA,EE,DUGC_EE
EE599,Thesis (MTech),NA,NA,EE,DPGC_EE
EE795,PhD Candidacy,NA,NA,EE,DPGC_EE
EE799,Thesis (PhD),NA,NA,EE,DPGC_EE
